_id,mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation-time,qualifica,Provincia Sede,CODICE ENTE,3descrizione,regione%sede,att ivazioni
6852Caff79C2715845D94C2A,8.0,2023.0,9.0,Ministero Della Giustizia,Te,12.0,0.0,3.0,202308.0,2025-06-18T16:15:20.148346,Operatore,Te,9.0,Ministero Della Giustizia,12.0,0.0
6852Caec205349164Be9937B,12.0,2024.0,21.0,Agenzia Delle Dogane,Bo,7.0,0.0,1.0,202412.0,2025-06-18T16:15:20.148346,Operatore,Bo,21.0,Agenzia Delle Dogane,7.0,0.0
6852Caf1205349164Bea8302,5.0,2022.0,12.0,Ministero Dell'Interno,To,1.0,0.0,6.0,202305.0,2025-06-18T16:15:20.148346,Operatore,To,12.0,Ministero Dell'Interno,1.0,0.0
6852Cad96555Da0907A4043F,8.0,2023.0,19.0,Ministero Universita' E Ricerca,Rg,18.0,10.0,360.0,202308.0,2025-06-18T16:15:20.148346,Funzionario,Rg,19.0,Ministero Universita' E Ricerca,18.0,10.0
6852Cae9205349164Be8F3E0,6.0,2023.0,4.0,Ministero Dell'Istruzione E Del Merito,En,10.0,9.0,1065.0,202306.0,2025-06-18T16:15:20.148346,Funzionario,En,4.0,Ministero Dell'Istruzione E Del Merito,18.0,9.0
6852Caf1205349164Bea884B,5.0,2023.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Or,19.0,0.0,2.0,202305.0,2025-06-18T16:15:20.148346,Operatore,Or,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,19.0,0.0
6852Caec205349164Be97Ca5,3.0,2023.0,18.0,Corte Dei Conti,Ve,4.0,1.0,0.0,202303.0,2025-06-18T16:15:20.148346,Operatore,Ve,18.0,Corte Dei Conti,4.0,1.0
6852Caed205349164Be9A137,3.0,2024.0,18.0,?,Rm,14.0,2.0,0.0,202403.0,2025-06-18T16:15:20.148346,Impiegato,Rm,18.0,Corte Dei Conti,14.0,2.0
6852Caf7205349164Bebc2B1,10.0,2024.0,19.0,Ministero Universita' E Ricerca,Pg,9.0,335.0,39.0,202410.0,2025-06-18T16:15:20.148346,Operatore,Pg,19.0,Ministero Universita' E Ricerca,9.0,335.0
6852Caf3205349164Bead0E3,9.0,2023.0,9.0,Ministero Della Giustizia,Sa,14.0,11.0,9.0,202309.0,2025-06-18T16:15:20.148346,Impiegato,Sa,9.0,Ministero Della Giustizia,14.0,11.0
6852Caf4205349164Beb1030,8.0,2023.0,3.0,Ministero Della Difesa,Rm,11.0,36.0,152.0,202308.0,2025-06-18T16:15:20.148346,Funzionario,Rm,3.0,Ministero Della Difesa,11.0,36.0
6852Cafe205349164Bec1234,6.0,2024.0,2.0,Ministero Delle Infrastrutture E Dei Trasporti,Cn,1.0,0.0,2.0,202406.0,2025-06-18T16:15:20.148346,Dirigente,Cn,2.0,Ministero Delle Infrastrutture E Dei Trasporti,1.0,0.0
